Occupation,Detailed Work Activity,Code,Group
Neurodiagnostic Technologists,Maintain medical or professional knowledge.,29-2099.01,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Test patient vision.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Record patient medical histories.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,"Collect medical information from patients, family members, or other medical professionals.",29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Measure the physical or physiological attributes of patients.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Administer non-intravenous medications.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Operate diagnostic or therapeutic medical instruments or equipment.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Calculate numerical data for medical activities.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Operate diagnostic imaging equipment.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Diagnose medical conditions.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Clean medical equipment or facilities.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Sterilize medical equipment or instruments.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Communicate detailed medical information to patients or family members.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Create advanced digital images of patients using computer imaging systems.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Assist healthcare practitioners during surgery.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Supervise medical support personnel.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Train medical providers.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Maintain medical equipment or instruments.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Monitor patients following surgeries or other treatments.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Instruct patients in the use of assistive equipment.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,Assist healthcare practitioners during examinations or treatments.,29-2099.05,Laboratory and Diagnostic Technicians
Ophthalmic Medical Technologists,"Treat acute illnesses, infections, or injuries.",29-2099.05,Laboratory and Diagnostic Technicians
Patient Representatives,Coordinate operational activities.,29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,"Interview employees, customers, or others to collect information.",29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,Refer customers to appropriate personnel.,29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,Maintain current knowledge related to work activities.,29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,"Explain regulations, policies, or procedures.",29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,Train personnel.,29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,Analyze financial information.,29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,Provide information to coworkers.,29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,Prepare research or technical reports.,29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,Distribute materials to employees or customers.,29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,Prepare informational or reference materials.,29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,Instruct patients in the use of assistive equipment.,29-2099.08,Supportive Care and Assistant Roles
Patient Representatives,Teach basic living or other adaptive skills to patients or caregivers.,29-2099.08,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Code data or other information.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Classify materials according to standard systems.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,"Collect medical information from patients, family members, or other medical professionals.",29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Communicate with management or other staff to resolve problems.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Create databases to store electronic data.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Develop procedures for data management.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Evaluate applicable laws and regulations to determine impact on organizational activities.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Gather medical information from patient histories.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Maintain medical facility records.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Maintain security.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Manage healthcare operations.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,"Market products, services, or events.",29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Monitor external affairs or events affecting business operations.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Perform clerical work in medical settings.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Prepare healthcare training materials.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Present medical research reports.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Promote educational institutions or programs.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Recommend changes to improve computer or information systems.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Supervise medical support personnel.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Test computer hardware performance.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Test software performance.,29-9021.00,Supportive Care and Assistant Roles
Health Information Technologists and Medical Registrars,Train caregivers or other non-medical personnel.,29-9021.00,Supportive Care and Assistant Roles
Athletic Trainers,Analyze patient data to determine patient needs or treatment goals.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Evaluate patient outcomes to determine effectiveness of treatments.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Inform medical professionals regarding patient conditions and care.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Operate diagnostic or therapeutic medical instruments or equipment.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Treat patients using physical therapy techniques.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,"Evaluate patient functioning, capabilities, or health.",29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Maintain medical facility records.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Perform clerical work in medical settings.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Prepare reports summarizing patient diagnostic or care activities.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Clean facilities or equipment.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Maintain clean work areas.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,"Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.",29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Develop exercise or conditioning programs.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,"Apply bandages, dressings, or splints.",29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Collaborate with healthcare professionals to plan or provide treatment.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Inspect work environments to ensure safety.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Process medical billing information.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Consult with others regarding safe or healthy equipment or facilities.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Treat patients using alternative medical procedures.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Train medical providers.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Conduct research to increase knowledge about medical issues.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Maintain inventory of medical supplies or equipment.,29-9091.00,Supportive Care and Assistant Roles
Athletic Trainers,Maintain medical equipment or instruments.,29-9091.00,Supportive Care and Assistant Roles
Genetic Counselors,Explain medical procedures or test results to patients or family members.,29-9092.00,Allied Health Professionals
Genetic Counselors,Inform medical professionals regarding patient conditions and care.,29-9092.00,Allied Health Professionals
Genetic Counselors,Communicate detailed medical information to patients or family members.,29-9092.00,Allied Health Professionals
Genetic Counselors,Analyze test data or images to inform diagnosis or treatment.,29-9092.00,Allied Health Professionals
Genetic Counselors,Interact with patients to build rapport or provide emotional support.,29-9092.00,Allied Health Professionals
Genetic Counselors,Advise patients on effects of health conditions or treatments.,29-9092.00,Allied Health Professionals
Genetic Counselors,Prepare reports summarizing patient diagnostic or care activities.,29-9092.00,Allied Health Professionals
Genetic Counselors,Analyze patient data to determine patient needs or treatment goals.,29-9092.00,Allied Health Professionals
Genetic Counselors,Develop medical treatment plans.,29-9092.00,Allied Health Professionals
Genetic Counselors,Order medical diagnostic or clinical tests.,29-9092.00,Allied Health Professionals
Genetic Counselors,"Collect medical information from patients, family members, or other medical professionals.",29-9092.00,Allied Health Professionals
Genetic Counselors,Gather medical information from patient histories.,29-9092.00,Allied Health Professionals
Genetic Counselors,Record patient medical histories.,29-9092.00,Allied Health Professionals
Genetic Counselors,"Evaluate patient functioning, capabilities, or health.",29-9092.00,Allied Health Professionals
Genetic Counselors,Maintain medical or professional knowledge.,29-9092.00,Allied Health Professionals
Genetic Counselors,Prepare healthcare training materials.,29-9092.00,Allied Health Professionals
Genetic Counselors,Refer patients to other healthcare practitioners or health resources.,29-9092.00,Allied Health Professionals
Genetic Counselors,Advise medical personnel regarding healthcare issues.,29-9092.00,Allied Health Professionals
Genetic Counselors,Conduct health or safety training programs.,29-9092.00,Allied Health Professionals
Genetic Counselors,Develop healthcare quality and safety procedures.,29-9092.00,Allied Health Professionals
Genetic Counselors,Train medical providers.,29-9092.00,Allied Health Professionals
Genetic Counselors,Conduct research to increase knowledge about medical issues.,29-9092.00,Allied Health Professionals
Surgical Assistants,Verify accuracy of patient information.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Maintain sterile operative fields.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Position patients for treatment or examination.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Protect patients or staff members using safety equipment.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Operate diagnostic or therapeutic medical instruments or equipment.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Operate on patients to treat conditions.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,"Apply bandages, dressings, or splints.",29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,"Treat acute illnesses, infections, or injuries.",29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Collaborate with healthcare professionals to plan or provide treatment.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Maintain inventory of medical supplies or equipment.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Implement advanced life support techniques.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Examine medical instruments or equipment to ensure proper operation.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Sterilize medical equipment or instruments.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Assist healthcare practitioners during surgery.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,"Monitor patient conditions during treatments, procedures, or activities.",29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Prepare patients physically for medical procedures.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Prepare medical supplies or equipment for use.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Move patients to or from treatment areas.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Administer anesthetics or sedatives to control pain.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Administer intravenous medications.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Administer basic health care or medical treatments.,29-9093.00,Supportive Care and Assistant Roles
Surgical Assistants,Administer blood or other fluids intravenously.,29-9093.00,Supportive Care and Assistant Roles
Midwives,Examine patients to assess general physical condition.,29-9099.01,Supportive Care and Assistant Roles
Midwives,"Monitor patient conditions during treatments, procedures, or activities.",29-9099.01,Supportive Care and Assistant Roles
Midwives,Refer patients to other healthcare practitioners or health resources.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Diagnose medical conditions.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Treat medical emergencies.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Care for women during pregnancy and childbirth.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Develop medical treatment plans.,29-9099.01,Supportive Care and Assistant Roles
Midwives,"Evaluate patient functioning, capabilities, or health.",29-9099.01,Supportive Care and Assistant Roles
Midwives,Measure the physical or physiological attributes of patients.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Analyze test data or images to inform diagnosis or treatment.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Collaborate with healthcare professionals to plan or provide treatment.,29-9099.01,Supportive Care and Assistant Roles
Midwives,"Collect medical information from patients, family members, or other medical professionals.",29-9099.01,Supportive Care and Assistant Roles
Midwives,Analyze patient data to determine patient needs or treatment goals.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Record patient medical histories.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Prepare medical supplies or equipment for use.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Operate on patients to treat conditions.,29-9099.01,Supportive Care and Assistant Roles
Midwives,"Provide health and wellness advice to patients, program participants, or caregivers.",29-9099.01,Supportive Care and Assistant Roles
Midwives,Test biological specimens to gather information about patient conditions.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Communicate detailed medical information to patients or family members.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Position patients for treatment or examination.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Collect biological specimens from patients.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Prepare official health documents or records.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Assess physical conditions of patients to aid in diagnosis or treatment.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Conduct diagnostic tests to determine patient health.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Communicate health and wellness information to the public.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Analyze quantitative data to determine effectiveness of treatments or therapies.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Treat patients using alternative medical procedures.,29-9099.01,Supportive Care and Assistant Roles
Midwives,Conduct research to increase knowledge about medical issues.,29-9099.01,Supportive Care and Assistant Roles
Home Health Aides,Maintain medical records.,31-1121.00,Supportive Care and Assistant Roles
Home Health Aides,Assist patients with daily activities.,31-1121.00,Supportive Care and Assistant Roles
Home Health Aides,Give medications or immunizations.,31-1121.00,Supportive Care and Assistant Roles
Home Health Aides,Engage patients in exercises or activities.,31-1121.00,Supportive Care and Assistant Roles
Home Health Aides,Feed patients.,31-1121.00,Supportive Care and Assistant Roles
Home Health Aides,Assess physical conditions of patients to aid in diagnosis or treatment.,31-1121.00,Supportive Care and Assistant Roles
Home Health Aides,Teach basic living or other adaptive skills to patients or caregivers.,31-1121.00,Supportive Care and Assistant Roles
Home Health Aides,Accompany patients or clients on outings to provide assistance.,31-1121.00,Supportive Care and Assistant Roles
Home Health Aides,"Apply bandages, dressings, or splints.",31-1121.00,Supportive Care and Assistant Roles
Home Health Aides,Administer therapy treatments to patients using hands or physical treatment aids.,31-1121.00,Supportive Care and Assistant Roles
Personal Care Aides,Administer basic health care or medical treatments.,31-1122.00,Supportive Care and Assistant Roles
Personal Care Aides,Document client health or progress.,31-1122.00,Supportive Care and Assistant Roles
Personal Care Aides,Maintain client information or service records.,31-1122.00,Supportive Care and Assistant Roles
Personal Care Aides,Teach health or hygiene practices.,31-1122.00,Supportive Care and Assistant Roles
Personal Care Aides,Monitor health or behavior of people or animals.,31-1122.00,Supportive Care and Assistant Roles
Personal Care Aides,Develop plans for programs or services.,31-1122.00,Supportive Care and Assistant Roles
Personal Care Aides,"Provide counsel, comfort, or encouragement to individuals or families.",31-1122.00,Supportive Care and Assistant Roles
Personal Care Aides,Prepare foods or meals.,31-1122.00,Supportive Care and Assistant Roles
Personal Care Aides,Assist individuals with special needs.,31-1122.00,Supportive Care and Assistant Roles
Personal Care Aides,Perform housekeeping duties.,31-1122.00,Supportive Care and Assistant Roles
Personal Care Aides,Drive vehicles to transport patrons.,31-1122.00,Supportive Care and Assistant Roles
Nursing Assistants,Adjust positions of patients on beds or tables.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Feed patients.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Record vital statistics or other health information.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Hold patients to ensure proper positioning or safety.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Assist patients with daily activities.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Monitor patients to detect health problems.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Analyze patient data to determine patient needs or treatment goals.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Assess physical conditions of patients to aid in diagnosis or treatment.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Dispose of biomedical waste in accordance with standards.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Interview patients to gather medical information.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Prepare medical instruments or equipment for use.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,"Collect medical information from patients, family members, or other medical professionals.",31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Clean patient rooms or patient treatment rooms.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Administer therapy treatments to patients using hands or physical treatment aids.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Stock medical or patient care supplies.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Assist practitioners to perform medical procedures.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Operate medical equipment.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Administer basic health care or medical treatments.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Give medications or immunizations.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,"Apply bandages, dressings, or splints.",31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Move patients to or from treatment areas.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Collect biological specimens from patients.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Explain technical medical information to patients.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,Transport biological or other medical materials.,31-1131.00,Supportive Care and Assistant Roles
Nursing Assistants,"Provide basic information to guests, visitors, or clients.",31-1131.00,Supportive Care and Assistant Roles
Orderlies,Adjust positions of patients on beds or tables.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Clean medical equipment.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Move patients to or from treatment areas.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Dispose of biomedical waste in accordance with standards.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Transport biological or other medical materials.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Clean patient rooms or patient treatment rooms.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Assist patients with daily activities.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Hold patients to ensure proper positioning or safety.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Assess physical conditions of patients to aid in diagnosis or treatment.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Record vital statistics or other health information.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Stock medical or patient care supplies.,31-1132.00,Supportive Care and Assistant Roles
Orderlies,Feed patients.,31-1132.00,Supportive Care and Assistant Roles
Psychiatric Aides,Encourage patients during therapeutic activities.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Care for patients with mental illnesses.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Assess physical conditions of patients to aid in diagnosis or treatment.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Monitor patients to detect health problems.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Hold patients to ensure proper positioning or safety.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Confer with other professionals to plan patient care.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Maintain medical records.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Record vital statistics or other health information.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Assist patients with daily activities.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Feed patients.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Clean patient rooms or patient treatment rooms.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Perform clerical work in medical settings.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Collect biological specimens from patients.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Give medications or immunizations.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Interview patients to gather medical information.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Accompany patients or clients on outings to provide assistance.,31-1133.00,Supportive Care and Assistant Roles
Psychiatric Aides,Engage patients in exercises or activities.,31-1133.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Encourage patients during therapeutic activities.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Teach basic living or other adaptive skills to patients or caregivers.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Teach medical procedures or medical equipment use to patients.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Implement therapeutic programs to improve patient functioning.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Monitor patient progress or responses to treatments.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Communicate patient status to other health practitioners.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Prepare medical reports or documents.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Develop patient therapy programs.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Maintain medical records.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Record vital statistics or other health information.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Assist patients with daily activities.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Attend educational events to update medical knowledge.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Administer screening tests to determine abilities or treatment needs.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Confer with other professionals to plan patient care.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Clean medical equipment.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Maintain medical equipment or instruments.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Prepare medical instruments or equipment for use.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Make patient-assistive devices or device models.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Move patients to or from treatment areas.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Teach medical procedures to healthcare personnel.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Inventory medical supplies or equipment.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Perform clerical work in medical settings.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Process medical billing information.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Assistants,Schedule patient procedures or appointments.,31-2011.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Encourage patients during therapeutic activities.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Communicate patient status to other health practitioners.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Prepare medical reports or documents.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Administer screening tests to determine abilities or treatment needs.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Maintain medical records.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Monitor patient progress or responses to treatments.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Record vital statistics or other health information.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Maintain medical equipment or instruments.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Inventory medical supplies or equipment.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Prepare patient treatment areas for use.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Implement therapeutic programs to improve patient functioning.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Move patients to or from treatment areas.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Teach basic living or other adaptive skills to patients or caregivers.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Teach medical procedures or medical equipment use to patients.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Manage control system activities in organizations.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Monitor work areas or procedures to ensure compliance with safety procedures.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Teach medical procedures to healthcare personnel.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Perform clerical work in medical settings.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Schedule patient procedures or appointments.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Stock medical or patient care supplies.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Engage patients in exercises or activities.,31-2012.00,Supportive Care and Assistant Roles
Occupational Therapy Aides,Accompany patients or clients on outings to provide assistance.,31-2012.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Engage patients in exercises or activities.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Document client health or progress.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Encourage patients during therapeutic activities.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Record patient medical histories.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Communicate patient status to other health practitioners.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Monitor patient progress or responses to treatments.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Prepare medical reports or documents.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Hold patients to ensure proper positioning or safety.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Confer with other professionals to plan patient care.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Administer therapy treatments to patients using hands or physical treatment aids.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Adjust positions of patients on beds or tables.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Move patients to or from treatment areas.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Teach medical procedures or medical equipment use to patients.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Clean patient rooms or patient treatment rooms.,31-2021.00,Supportive Care and Assistant Roles
Physical Therapist Assistants,Assess physical conditions of patients to aid in diagnosis or treatment.,31-2021.00,Supportive Care and Assistant Roles
